City,Country,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
Yulara,AU,0,29,-25.24,130.99,62.6,12.75
Thompson,CA,20,48,55.74,-97.86,64.4,2.24
Minbu,MM,100,68,20.18,94.88,86.63,1.66
Cidreira,BR,0,84,-30.17,-50.22,61.97,11.79
Kempsey,AU,0,36,-31.08,152.84,75,8.01
Dharchula,IN,40,84,29.85,80.53,60.35,4.41
Lavrentiya,RU,100,86,65.58,-170.99,48.11,7.27
Labuhan,ID,4,54,-2.54,115.51,89.51,2.35
Atuona,PF,0,75,-9.8,-139.03,79.97,10.22
Barrow,AR,100,88,-38.31,-60.23,61.97,13.78
Avarua,CK,93,64,-21.21,-159.78,73.4,11.41
New Norfolk,AU,20,41,-42.78,147.06,59,26.4
Tymovskoye,RU,100,67,50.85,142.66,74.57,7.67
Qaanaaq,GL,92,84,77.48,-69.36,39.83,2.66
Busselton,AU,100,50,-33.64,115.35,61,27.69
Vaini,IN,75,100,15.34,74.49,71.6,6.93
Port Elizabeth,US,1,94,39.31,-74.98,87.8,1.92
Boyolangu,ID,100,63,-8.09,111.9,78.89,8.21
Kaihua,CN,100,61,29.14,118.41,90.77,2.51
Naryan-Mar,RU,100,86,67.67,53.09,45.77,8.5
Jiuquan,CN,100,48,39.73,98.49,67.19,2.75
Baker City,US,1,30,44.77,-117.83,78.8,8.05
Axim,GH,100,91,4.87,-2.24,75.65,10.92
Jamestown,AU,0,63,-33.21,138.6,55.13,12.08
Launceston,AU,75,71,-41.43,147.14,55.4,24.16
Provideniya,RU,100,90,64.42,-173.23,51.89,10.71
Punta Arenas,CL,40,91,-53.16,-70.91,33.8,10.29
Albany,US,90,88,42.65,-73.75,75,6.93
Cayenne,GF,34,94,4.94,-52.33,75.2,3.56
Arraial do Cabo,BR,11,81,-22.97,-42.02,67.91,23.91
Cafarnaum,BR,62,78,-11.69,-41.47,64.49,10.16
Upernavik,GL,100,95,72.79,-56.15,44.51,4.34
Kropotkin,RU,62,52,45.43,40.58,71.69,9.78
Nome,US,1,83,30.04,-94.42,84.99,4.7
Esperance,AU,90,72,-33.86,121.89,59,24.16
Kapaa,US,90,69,22.08,-159.32,87.8,14.99
Tuktoyaktuk,CA,75,52,69.44,-133.03,69.8,20.8
Sioux Lookout,CA,75,77,50.1,-91.92,62.6,6.93
Kutum,SD,100,82,14.2,24.66,67.91,8.14
Cockburn Town,TC,0,77,21.46,-71.14,82.49,11.5
Cape Town,ZA,0,100,-33.93,18.42,45,2.24
Mataura,NZ,58,96,-46.19,168.86,51.01,3
Hilo,US,1,62,19.71,-155.08,84.2,11.41
Drayton Valley,CA,1,83,53.22,-114.98,61.25,4.14
Yiyang,CN,94,62,28.59,112.35,91.85,3.31
Puerto Ayora,EC,8,93,-0.74,-90.35,70,5.01
Castro,CL,75,100,-42.48,-73.76,37.4,2.24
Tiksi,RU,40,68,71.64,128.87,40.37,17.16
Pitsunda,GE,90,88,43.16,40.34,71.6,6.71
Iracoubo,GF,88,95,5.48,-53.21,73.85,4.9
Hervey Bay,AU,7,46,-25.3,152.85,75.99,12.75
Hobart,AU,20,41,-42.88,147.33,59,26.4
Hay River,CA,40,50,60.82,-115.79,75.2,8.05
Ushuaia,AR,0,69,-54.81,-68.31,33.8,5.82
Galesong,ID,56,76,-5.32,119.37,79.07,14.7
High Level,CA,75,50,58.52,-117.13,75.2,4.7
Ulladulla,AU,0,34,-35.36,150.48,69.8,25.28
Bluff,AU,64,58,-23.58,149.07,69.89,11.03
Vadodara,IN,90,100,22.3,73.2,77,6.93
Lebu,ET,40,87,8.96,38.73,55.4,9.17
Inhambane,MZ,100,76,-23.87,35.38,59.81,13.24
Lompoc,US,1,82,34.64,-120.46,66.2,8.05
Kodiak,US,90,74,39.95,-94.76,89.01,4.7
Vagur,FO,51,87,61.47,-6.81,51.89,9.22
Deputatskiy,RU,31,49,69.3,139.9,52.61,21.9
Butaritari,KI,57,67,3.07,172.79,83.93,5.91
Pitimbu,BR,75,100,-7.47,-34.81,73.4,3.36
Saint-Philippe,CA,40,83,45.36,-73.48,82.4,3.36
Severo-Yeniseyskiy,RU,100,56,60.37,93.04,56.39,9.37
Saskylakh,RU,8,39,71.97,114.09,62.51,8.41
Tura,RU,67,36,64.27,100.22,67.37,9.78
Kahului,US,75,74,20.89,-156.47,80.6,12.75
Port Hardy,CA,75,63,50.7,-127.42,62.6,9.17
Berlevag,NO,0,83,70.86,29.09,50.09,3.31
Tongchuan,CN,49,83,34.9,108.95,82.4,8.95
Gorontalo,ID,5,66,0.54,123.06,83.75,13.51
Lorengau,PG,100,80,-2.02,147.27,82.49,9.75
Porto Novo,BR,16,87,-23.68,-45.44,55.4,1.12
Talnakh,RU,0,37,69.49,88.39,71.6,11.18
College,US,90,49,64.86,-147.8,69.8,16.11
